Typ,Imię i Nazwisko,Dziedzina,Pensja,Bonus Heksów,Specjalny Bonus,Opis,Cytat
Doktor,Dr Pierre Dubois,Fizyka,2K,2,+2K dodatkowej nagrody z grantów wymagających naukowca fizyka,Badacz reaktorów energetycznych,"Reaktory dają czystą energię. Moja kawa daje brudną energię, ale działa szybciej."
Doktor,Dr Priya Sharma,Biologia,2K,2,Aktywacja naukowca daje +1 heks gdy masz mniej niż 3 naukowców,Odkrywczyni nowych enzymów,"Odkryłam enzym, który trawi plastik. Następny cel: enzym trawiący biurokrację."
Profesor,Prof. Erik Larsen,Chemia,3K,3,+3K natychmiast za każde ukończone badanie chemiczne,Ekspert od procesów chemicznych,"Chemia to życie. Zwłaszcza gdy nie musisz sprzątać po eksplozji."
Doktor,Dr Zhang Wei,Chemia,2K,2,+1K za każdą publikację w czasopismach chemicznych,Twórca nowych materiałów,"Tworzę materiały przyszłości z pierwiastków przeszłości. To jak archeologia, ale w przód."
Doktor,Dr Isabella Rossi,Biologia,2K,2,+1 PB na początku każdej rundy za każdego zatrudnionego biologa (włącznie z sobą),Badaczka nad szczepionkami,"Szczepionka to najlepsza inwestycja w przyszłość. Po kawie."
Profesor,Prof. David Kim,Biologia,3K,3,+2 PZ za każde ukończone badanie biologiczne,Pionier w dziedzinie implantów,"Implanty mogą naprawić ciało. Ktoś wynajdzie implant naprawiający biurokrację?"
Doktor,Dr Sophie Laurent,Biologia,2K,2,+1K za każdą publikację w czasopismach biologicznych,Eksploratorka ekosystemów wodnych,"Ekosystemy wodne są fascynujące. Zwłaszcza gdy nie wpadniesz do nich z aparaturą."
Doktor,Dr Raj Patel,Fizyka,2K,2,+3K dodatkowej nagrody z grantów,Ekspert od analizy danych,"Big Data mówi wszystko. Niestety, mówi to w 47 różnych formatach plików."
Profesor,Prof. Maria Santos,Fizyka,3K,3,+2 PZ za każde ukończone badanie fizyczne,Liderka w technologiach energetycznych,"Energia jest niezniszczalna. Moja motywacja w poniedziałek - już nie."
Doktor,Dr Thomas Anderson,Fizyka,2K,2,+1 punkt Reputacji przy zatrudnieniu,Twórca algorytmów kryptograficznych,"Kryptografia to sztuka ukrywania informacji. Ukrywam też swoją nienawiść do Excela."
Doktor,Dr Fatima Al-Zahra,Biologia,2K,2,+2K za każde ukończone badanie biologiczne,Pionierka terapii komórkowych,"Komórki macierzyste mogą stać się wszystkim. Ja mogę stać się wszystkim po kawie."
Profesor,Prof. Robert Johnson,Fizyka,3K,3,+1 PZ za każde ukończone badanie fizyczne,Ekspert od fuzji termojądrowej,"Fuzja jądrowa to energia przyszłości. Była nią już 50 lat temu."
Doktor,Dr Lena Johansson,Biologia,2K,2,+1 punkt Reputacji za każde ukończone badanie dotyczące mózgu/medycyny,Badaczka procesów poznawczych,"Procesy poznawcze są złożone. Ale dlaczego zawsze zapominam, gdzie zostawiłam klucze?"
Doktor,Dr Carlos Rivera,Biologia,2K,2,+2K za każde badanie dotyczące medycyny/farmaceutyków,Odkrywca nowych antybiotyków,"Antybiotyki walczą z bakteriami. Ja walczę z recenzentami moich artykułów."
Profesor,Prof. Hiroshi Sato,Fizyka,3K,3,+2K natychmiast po ukończeniu każdego badania fizycznego,Twórca komputerów kwantowych,"Komputer kwantowy liczy wszystkie możliwości jednocześnie. Ja liczę tylko do deadline'u."
Doktor,Dr Rachel Green,Biologia,2K,2,+1 PZ za każde ukończone badanie biologiczne,Specjalistka od biotechnologii,"Biotechnologia zmieni świat. Na razie zmienia tylko mój poziom stresu."
Doktor,Dr Marco Bellini,Fizyka,2K,2,+1 PZ za każde badanie fizyczne dotyczące optyki/laserów,Ekspert od laserów i optyki,"Lasery potrafią ciąć wszystko. Chciałbym, żeby potrafiły ciąć biurokrację."
Profesor,Prof. Catherine Wong,Fizyka,3K,3,+1 PA gdy zagrywasz kartę akcji PROWADŹ BADANIA,Autorka przełomowych algorytmów,"Algorytmy rozwiązują wszystko. Poza problemem 'gdzie mam czas na życie?'"
Doktor,Dr Viktor Petrov,Chemia,2K,2,+1 PZ za każde ukończone badanie chemiczne,Twórca nowych procesów katalitycznych,"Kataliza przyspiesza reakcje. Marzyłbym o katalizatorze przyspieszającym weekendy."
Doktor,Dr Sarah Mitchell,Biologia,2K,2,+2 PZ za ukończenie badania gdy masz naukowców z 3 różnych dziedzin,Badaczka bioróżnorodności,"Bioróżnorodność to piękno natury. Różnorodność formularzy to piekło biurokracji."
Profesor,Prof. Alessandro Ferrari,Fizyka,3K,3,+2K za pierwsze ukończone badanie każdej dziedziny,Odkrywca nowych stanów materii,"Odkryłem nowy stan materii: 'chroniczne zmęczenie docenta'."
Doktor,Dr Kenji Nakamura,Fizyka,2K,2,+2K za każde badanie dotyczące robotyki/automatyzacji,Projektant robotów precyzyjnych,"Roboty są precyzyjne i niezawodne. W przeciwieństwie do mojego budzika."
Doktor,Dr Elena Volkov,Biologia,2K,2,+1 punkt Reputacji przy zatrudnieniu,Ekspertka od patogenów,"Patogeny ewoluują by nas pokonać. Ale czy ewoluują tak szybko jak deadline'y?"
Profesor,Prof. Michael Taylor,Fizyka,3K,3,+1 PB natychmiast za każde ukończone badanie przez innych graczy,Badacz zjawisk geofizycznych,"Geofizyka wyjaśnia trzęsienia ziemi. Ale nie wyjaśnia, dlaczego trzęsą mi się ręce po kawie."
Doktor,Dr Amara Okafor,Biologia,2K,2,Konsorcja kosztują -1 PA,Pionierka nanorobotics medycznych,"Nanoroboty medyczne są przyszłością. Szkoda, że moja cierpliwość nie jest skalibrowana nanosekundowo."
Doktor,Dr Lars Andersen,Chemia,2K,2,+1 heks przy badaniach chemicznych,Teoretyk reakcji chemicznych,"Reakcje chemiczne mają swoje reguły. Niestety, moje eksperymenty często je łamią."
Profesor,Prof. Indira Gupta,Biologia,3K,3,+1 punkt Reputacji na początku rundy jeśli masz rozpoczęte badanie biologiczne,Liderka w analizie genomów,"Genom człowieka ma 3 miliardy par zasad. Ja mam 3 zasady: kawa, kawa, kawa."
Doktor,Dr Felipe Costa,Chemia,2K,2,+1 PB przy publikacji,Projektant systemów oczyszczania,"Oczyszczam środowisko z zanieczyszczeń. Gdybym tylko mógł oczyścić swoje biurko z papierów."
Doktor,Dr Olga Ivanova,Biologia,2K,2,+1 heks przy badaniach biologicznych,Odkrywczyni nowych leków,"Leki ratują życie. Gdyby tylko istniał lek na chroniczny brak czasu."
Profesor,Prof. Benjamin Clark,Fizyka,3K,3,+3K natychmiast za każde ukończone badanie jeśli masz min. 4 punkty Reputacji,Twórca teorii informacji,"Teoria informacji mówi o entropii. Moje biurko to żywy dowód jej słuszności."
Doktor,Dr Yasmin Osman,Fizyka,2K,2,+1 PB przy publikacji,Odkrywczyni nowych obiektów kosmicznych,"Odkrywam obiekty w kosmosie. Wciąż nie mogę znaleźć moich kluczy na Ziemi."
Doktor,Dr Stefan Müller,Chemia,2K,2,+1 heks przy badaniach chemicznych,Ekspert od stopów metali,"Stopy metali są fascynujące. Mój stop z łóżkiem w poniedziałek rano - jeszcze bardziej."
Profesor,Prof. Grace Liu,Fizyka,3K,3,+2 heksy przy pierwszym badaniu w rundzie jeśli masz min. 3 punkty Reputacji,Pionierka interfejsów neuronowych,"Interfejsy neuronalne czytają myśli. Moje czytają głównie 'gdzie jest kawa?'"
Doktor,Dr Hassan Mahmoud,Fizyka,2K,2,Konsorcja kosztują -1 PA,Projektant reaktorów jądrowych,"Fuzja kontrolowana to święty graal energetyki. Moja fuzja z poranną kawą - jeszcze świętsza."
Doktor,Dr Julia Kowalczyk,Chemia,2K,2,+1 heks przy badaniach chemicznych,Badaczka zanieczyszczeń środowiska,"Monitoruję zanieczyszczenia środowiska. Największe zanieczyszczenie? Mój harmonogram."
Profesor,Prof. Antoine Bernard,Fizyka,3K,3,+2 PZ za każde ukończone badanie fizyczne wymagające 4+ heksów,Teoretyk kosmologii i ciemnej materii,"Ciemna materia to 95% wszechświata. Ciemna czekolada to 95% mojej diety."
